,name,arc140,arc141,arc142,arc143,arc144,arc145,arc146,arc147,arc148,arc149,arc150,arc151,arc152,arc153,arc154,arc155,arc156,arc157,arc158,arc159,arc160,arc161
258,Akijin_007,-20,21,,44,30,,-18,-27,-29,82,-24,1,58,-11,-18,-7,0,-25,-16,10,-26,
259,goto1963,40,0,93,-40,86,18,-29,0,,-8,-62,0,0,,,,12,-1,64,,5,-32
260,otoshigo,32,44,46,-23,8,10,,-34,,15,89,-6,-7,-13,-29,-45,55,6,-28,62,-7,-64
261,syun0713,,-41,-6,72,,,,15,,37,10,79,68,36,26,0,,,23,-1,31,4
262,yri,,,,,,,,,,,,,,97,,-39,-72,,92,,,
263,gridatch,44,22,-13,34,-34,8,10,-2,-21,-76,28,-22,,-14,70,45,13,-5,36,,,
264,kys,63,39,-44,-20,-41,25,-38,-16,-27,46,-40,-32,-10,17,-25,11,-22,,-27,-11,-12,-22
265,diogeo,,,,,,,,,,,,,,,,,163,108,110,-11,,
266,sanyon,49,13,48,-31,20,-19,23,-17,0,-14,50,-33,11,-62,-45,-28,-14,32,-27,-9,25,
267,pirari,44,11,0,-34,,,2,-19,-26,30,-1,-11,-29,35,-6,5,21,92,20,13,-72,21
268,miscalculation53,17,51,-41,-3,-23,23,-9,31,-11,42,-17,2,-9,0,-16,-39,-6,-5,-32,18,-1,-20
269,dyktr_06,-32,65,-38,20,70,-40,34,-26,-14,126,9,-48,-39,-6,-3,-30,-33,-21,-27,40,0,0
270,yamamotoyuki,,,,279,45,134,,,26,25,43,,,87,58,-3,45,0,21,-8,,
271,satooo,,,,,,,,,,-14,-8,52,,,,,,,151,,,
272,ks2m,14,-17,-38,18,39,26,-47,70,-15,-46,3,-42,-4,-18,2,-89,,-40,-19,8,-9,16
273,Muuni,-26,,-13,38,,,-29,-1,-11,,,,,,,,,,3,65,,
274,MichaelChick,,27,29,,43,-4,22,51,,4,1,3,-12,-8,59,-20,53,-32,-16,-29,28,
275,Moegi,,,0,0,0,0,0,,0,,,0,,0,,0,11,-12,-9,1,-85,-25
276,okapin,,,,,-2,-13,8,,,,,,,53,4,,,-33,28,-9,-4,20
277,amentorimaru,-43,-9,0,44,-14,-36,-55,-3,14,-1,-4,-32,67,20,-36,49,29,12,-43,6,59,-27
278,ikatakos,-25,27,-20,-46,-21,60,-12,-41,7,-2,-16,36,-14,-9,45,-1,-18,-56,-48,-25,1,35
279,cho57020,,33,15,-4,5,33,55,,,20,,,106,29,0,39,-26,-1,-1,20,1,-11
280,shinchan,12,19,0,,0,-12,-12,15,34,30,-10,-5,-52,41,9,,-6,-34,-39,27,6,5
281,tomarint,-33,8,43,-13,-44,-14,22,-36,-28,,,,12,97,,-28,0,-2,-7,0,0,
282,pnum7,79,23,-26,36,72,8,57,-1,-9,32,-32,20,,-17,73,-84,11,20,-23,-11,-32,
283,Baytool,,,,,,9,79,28,,0,,0,0,0,,0,0,,122,,,
284,ToastUz,28,,,,,-11,,2,3,52,-16,-23,,12,,70,,,38,40,28,4
285,premier,,,87,84,102,233,-62,-4,18,131,-48,-60,49,67,20,59,78,25,76,-70,-58,75
286,k_s__,,,,,,,,,,,,,,,,,164,,171,,,
287,rnishiura,27,108,136,41,-9,40,20,-14,14,-57,25,3,0,46,12,14,-26,-1,54,1,,
288,thematy,22,,53,,82,,,59,-2,,-68,,,-33,25,,,5,24,5,,-3
289,chikkun,0,0,-48,-17,4,7,-32,-28,-15,-9,1,-10,0,0,,9,-21,-14,-37,,,
290,TwoSquirrels,,44,51,-12,-11,81,,,,,,,81,1,,-42,73,,86,8,,-6
291,nemamu,,,,,,,,33,32,,,,,,,,,37,140,85,65,47
292,pengin,25,,,-16,-34,-25,62,12,-93,31,17,-21,,0,29,-27,22,,-23,-17,-26,4
293,kztasa,,,,,,,104,94,60,56,,0,187,55,-28,5,25,-31,24,20,,
294,chankei,36,44,59,36,-29,31,,-28,,8,-55,14,,,,,18,-40,-15,-7,-19,50
295,z1bbo,394,66,,,,,36,,104,2,30,,22,-83,,114,-76,,46,-28,,10
296,iCapy,49,22,23,129,0,23,-13,29,20,5,-56,-15,-8,,,,,70,52,1,-65,-16
297,allegrogiken,-13,6,-26,32,-25,-6,-10,-3,6,-24,-14,-30,9,-34,-30,10,-10,-23,28,-13,,-7
298,ttkkggww,,,,,,-43,39,-2,-26,-41,,,,55,3,-2,-61,50,-31,,-86,
299,kacho65535,14,32,-24,-5,0,0,0,8,5,67,0,47,16,,-57,-10,-37,,-11,1,-27,-21
300,temnam,-10,-1,-16,23,9,-9,23,3,46,-21,-65,27,13,8,9,-60,34,-22,39,-69,-58,-15
301,nishidy,,,,,,,,,,,38,4,31,80,,,,,157,,,
302,rnano,,,,,,,,,,,,,,3,-12,,,31,15,-35,-21,-40
303,chir,,,,,,,,,,,,,,,0,,-2,-4,-2,50,,
304,sayonobi,,,,,,,,,,,,,,,,-42,0,85,60,-13,,
305,MathGorilla,-6,16,-29,-4,-35,13,101,-16,-19,1,-10,17,-15,-17,24,-31,-40,-27,-24,19,,72
306,nog,-24,-21,-52,74,-41,-28,1,,,-22,-27,-20,-25,9,39,-58,47,7,39,,,2
307,Z__atcoder,,,,,,,,,,,,,,251,321,73,31,75,37,28,54,42
308,Risen,10,,,,7,0,37,-6,-20,-13,-24,2,,-41,85,,,,15,-14,-5,
309,setsuna,-26,31,63,-5,19,-7,8,,34,10,-9,,31,-13,44,,1,0,2,20,82,27
310,sigmani,,,,97,2,,,-73,48,75,10,,,,36,-57,37,,36,,,
311,ktr216,-5,39,16,-30,,11,-46,-8,2,-11,2,-35,-29,43,-36,18,-4,-15,-33,-29,-90,-27
312,koncha,,,,,,,,,,,,,0,3,,-72,-15,-7,-1,32,,
313,dissonance,-11,25,-25,-11,13,28,-37,22,25,-19,-24,30,0,,25,-15,,8,-49,-13,94,-24
314,hyouri,89,34,7,9,-23,-21,7,58,11,34,-70,5,50,-11,53,-6,-10,-7,8,-10,-83,-22
315,atkoder,,,,,,,,,,,,,,,,,8,-45,74,,,
316,behoma8,,,,,,,,,,,,,,6,,,-9,,97,24,,
317,torippy,,,,,,18,-78,116,,22,30,-12,15,-29,,,-24,55,44,3,,
318,RMiyazaki,-17,36,37,80,28,38,,18,-12,21,13,0,33,-17,6,-64,-32,42,15,8,-1,-30
319,nakanolab,96,30,60,7,-11,-68,19,30,-22,-60,,0,0,80,13,12,-8,-28,28,,-65,-21
320,prato,,,215,51,72,71,17,102,39,-73,102,56,108,-4,-16,-4,63,,-5,-84,-18,-88
321,mea1,,,,,,18,104,,-5,,,,0,,,,,,127,34,-47,
322,kojihashimoto,27,9,13,9,30,-26,,,,-5,,,,4,-1,-4,-6,,12,,-69,
323,qxa,-8,-8,0,-24,9,38,-17,,-14,-25,-17,-63,14,-27,-33,9,0,-18,-18,17,-41,-25
324,coffee_beans,8,-12,21,-17,39,33,4,8,-43,-12,-56,32,16,-14,-29,12,18,,-18,-31,4,-5
325,hkawaguc,8,4,0,,,,,,,,-26,-18,-18,42,0,-61,-9,-43,41,29,,
326,tom11629,,,,,,,,,,,,,,118,129,-6,0,,167,,,-19
327,dinice,,,,,,,,,23,1,,,,14,19,86,-57,50,85,32,-53,
328,So_hey,,,,,,,,,,,,,52,53,34,-15,77,0,144,-49,-33,12
329,flour814,8,-22,2,-31,33,0,-20,23,38,-33,0,-23,-19,-6,-22,-24,65,-12,-17,,,
330,tanishihigashi,-7,17,62,3,28,8,50,55,21,33,-38,-6,-12,4,56,-72,-6,,-11,,,
331,navel_tos,,,,,,,,,,,,,,,,,78,-49,158,,35,5
332,kaman,0,11,,,-37,-33,25,5,7,0,-11,37,-8,29,10,0,2,-4,21,21,-65,-5
333,Auk10,-5,-13,-34,44,10,11,16,-14,,-13,-60,-19,-25,10,33,-53,-15,44,42,1,10,-11
334,moacf,,,-10,,,,,,,0,,,,66,,,11,83,103,-53,,
335,tah,,,,,-24,70,,8,,0,-76,-8,,56,34,,-62,16,-14,41,10,-26
336,ma2AtC,-5,23,,6,,,,-16,-49,30,-72,17,-45,-12,23,37,,43,12,-21,13,-6
337,Kampachi_dev,,,,,,,0,,,,,,108,49,35,-55,41,32,23,17,,28
338,Tallfall,83,47,10,-40,-12,-12,-1,-37,-32,46,-27,,24,,,26,-3,25,-58,-19,-13,
339,matsup,,1,89,17,-21,1,-12,,95,41,,-50,,1,-19,34,23,,-8,,47,-27
340,tennisandsushi,,,11,58,-17,18,28,-9,-15,0,11,20,80,-44,-2,-53,4,-30,55,-5,,
341,mind_cpp,,,71,219,64,-15,34,8,-13,39,-23,-36,-46,38,-16,11,31,-34,11,5,-25,-25
342,alcea,,,,,,,,-13,,115,,101,65,,85,-65,,,21,,48,16
343,miya145592,38,36,26,31,-13,61,-21,37,7,-16,56,-17,82,0,-26,-67,-20,-35,22,-7,-18,26
344,zoidzium,14,10,7,4,6,7,-41,-25,-26,26,-54,-15,54,27,2,-50,22,16,34,-2,-62,-39
345,coder9999,-3,19,36,-1,-1,-26,,,10,-15,-75,17,37,-24,,-12,,-32,-5,-7,,-19
346,marroncastle917,0,,0,-15,2,-55,-23,,6,-33,34,4,-21,72,-46,18,1,36,-30,4,11,30
347,puyo,2,8,35,-26,14,28,-40,20,-14,45,-22,52,70,,39,2,14,,-20,14,,51
348,G4NP0N,,,,,,-43,,,,,,,,,14,,,,-7,,,
349,mo12412,-2,23,46,-40,73,52,21,-4,-56,51,-80,-30,23,18,36,-26,37,8,-15,-13,-78,-4
350,Age8,18,,,163,-16,78,33,23,35,43,20,-32,53,105,,-54,35,13,38,88,1,18
351,rosso01,-25,-7,17,39,-25,25,-2,-4,-27,-28,-14,-8,-47,-38,-26,28,15,17,-11,-14,-76,-19
352,Miyatoo,,,,,,,,,,,,,,0,34,-16,,118,128,,,
353,souta_1326,,10,-52,-44,-14,100,10,11,-14,81,,,-39,-49,,-9,,10,-51,-16,,
354,misteriking,,,,,,,,,,,,,,27,-15,,15,,50,0,,
355,moxn_nxom,,,-51,,32,,,,,0,-25,-41,-31,-8,,,-8,51,-15,,,29
356,IIIOvOIII,-20,-32,-48,,45,-34,15,13,24,-7,-22,-18,42,-15,,81,-41,-24,-25,,,
357,mulvery,,,,,,,,,,,,,,,,,,0,19,,21,
358,harutoman3,,,,,,,,,,,,,,,,,,-5,48,2,-61,18
359,Elise3993,,,23,-15,15,0,-40,8,-8,-12,-64,13,,,12,,,-16,13,,,
360,Koi51,,,,,,0,,,,,,0,,0,,0,0,,65,71,,51
361,t98slider,-24,13,14,4,-50,8,-4,-16,-17,43,-6,-60,-22,-40,19,-30,24,50,-46,18,-5,-30
362,SMDTU,-62,-5,-11,,14,-1,,5,53,-9,-6,35,,11,7,-54,37,-20,32,-30,,
363,onsen_manjuuu,,,,,,,,,,,,,,,,,,,-36,,,
364,kusano,1,-30,5,37,-51,44,12,0,-29,52,-31,-19,11,15,0,26,-34,-1,-52,38,-55,182
365,mukaiizawa,,,,,,,,,,,,,,,208,-9,112,131,77,,58,
366,ayutake,92,,6,-11,-20,,,0,,46,-64,19,0,6,-22,59,,-7,11,24,0,8
367,owltsp,,,,,0,24,,-51,39,-35,-29,,34,40,38,-23,64,49,87,-50,0,0
368,Linuxmetel,40,27,65,35,-7,32,6,24,-22,25,-23,18,-65,-27,-20,110,6,-16,32,27,10,53
369,mizuiro_t,35,14,-44,-32,-26,3,-47,15,-5,35,22,-23,33,-26,50,108,10,6,-1,-14,66,-20
370,ruis,,,,,,,,,,,,,,,46,-48,,22,35,-1,4,23
371,reo0105,,,,,,,,,,,24,52,53,114,26,112,4,36,34,-4,18,-23
372,yadorann24,28,-1,88,,86,60,90,-19,-15,39,,12,-32,,0,-60,22,6,8,-4,0,0
373,pureharmony,33,48,-26,0,3,-40,,14,-27,-64,-3,1,68,7,33,,-44,23,27,-3,3,
374,Trilink,,,,,,,,32,,-59,,,,,5,,8,-7,30,,,43
375,a1i,,27,,,,,,45,-32,-24,,,,,-45,,,,0,,,
376,hiraku,-4,-6,-33,-10,-27,42,7,-50,-72,-7,14,-38,55,6,77,-61,-11,12,21,-12,-64,22
377,KKT89,-13,0,-48,-32,-21,19,-9,-35,-20,-16,-20,-29,-41,,0,18,17,-35,-49,23,12,29
378,Rio850,,,,,,,,,,,,,,,,,,,47,-63,,
379,yuta28,-4,0,-31,0,38,-16,-13,0,,-11,,,57,12,1,-68,-24,-16,-3,-15,-75,-13
380,st415,,,,,,,,,,,-4,189,144,62,,126,9,,6,27,,-14
381,shunu,0,,,,,,,,,,,,,,,,101,,76,3,,0
382,Rho17,,,,,,,,,,,,,,,,,,,-57,,,
383,efe378945,-49,0,0,0,,0,0,0,37,-55,32,4,49,,-7,-54,22,8,26,-16,0,34
384,Sarievo,14,0,67,,,146,128,0,,,,16,0,42,24,56,-27,0,24,19,,
385,Luft,,,,,,,,,,0,-10,,34,,,0,-4,34,19,,,
386,ryuusagi,24,6,,10,-32,2,-54,-13,18,-29,-70,15,38,-16,0,-69,-34,-11,5,0,-73,5
387,eq_K,,,,,,,,,,,9,-27,7,1,21,-29,12,14,53,46,39,17
388,oji,,,,,,,,,,,,,,,,,,,29,6,-58,17
389,masa_kasa,,,,,,,,,,,,,,,,,,,132,81,,
390,kairosofto,-36,67,61,42,9,-3,11,41,16,-46,-37,8,-1,-4,,,-51,15,87,30,-47,-4
391,AiletS,-69,-1,-11,69,28,25,10,-19,-21,-7,4,-28,27,-7,-52,-20,0,-37,-16,27,-35,-7
392,midnq,,,,,,,,,,,,,0,4,99,,47,54,31,2,,
393,momoyuu,,,,,,,0,172,-53,90,22,-32,-17,,,,,,-47,-12,-16,131
394,FplusFplusF,-45,24,12,167,-11,-1,59,-8,9,-12,49,-13,-53,-14,-33,21,-42,-6,-8,28,-30,33
395,tombo314,-42,-40,-4,19,25,49,-13,-58,-47,-39,-31,-46,84,21,38,-27,-50,46,83,-50,-42,22
396,crimsontea,0,154,0,208,103,,,-23,-7,-59,-49,34,-26,12,13,-51,-6,-13,38,-15,0,17
397,otera,33,-11,-3,15,-10,-4,10,7,-25,23,37,34,-31,-69,26,-4,24,23,-65,53,14,-37
398,kzyKT,-28,0,-45,73,15,20,-25,-16,-40,7,30,-53,0,-31,23,-30,2,-20,-42,7,50,0
399,hiro2929,,,,,,,,,,,,,,,,-59,-71,,40,56,,
400,kyo1,,-10,19,-11,-1,-19,1,53,-4,-3,6,-26,-12,-45,18,-30,,-67,-27,-47,,
401,rlangevin,24,43,-24,-4,44,-4,-19,-25,9,-29,-80,-6,20,84,-18,-1,-29,-35,-25,-28,1,39
402,stoop,,,,,,49,-17,-23,,,,0,13,35,14,-52,41,35,19,-71,16,
403,nishigake,-23,-10,20,37,33,-37,-19,-18,-25,97,-26,-21,40,-13,31,-69,-16,-22,-3,-4,-72,19
404,cookie63,,,,,,,,,,,,,,94,11,-59,6,40,20,-9,,
405,tamlog06,-29,,,,,,,,,,,,,0,,,28,-66,44,,,
406,besukohu,45,35,-26,-18,47,29,21,28,-5,,,,,-12,73,8,-3,,-30,8,-5,69
407,slumberless,,,,,,,,,,,,,,,,,,,132,,,
408,hiro71687,-16,21,1,40,-34,-34,24,11,-19,60,0,-29,-46,-10,-29,15,-38,85,-8,81,-8,-10
409,viral,-30,-30,13,29,1,17,70,-27,-12,-7,-54,33,36,8,-1,-58,-32,17,12,30,-22,7
410,UMRgurashi,,,,,35,1,92,-7,6,,,,,-34,,,51,34,15,-6,19,-17
411,naoya675,,,,,,,,,,,1,,,9,35,-33,-56,-12,74,24,-47,29
412,shunsukt,,,,,,,,,,,36,127,,0,0,0,-20,0,32,9,23,40
413,usatyo,,,25,155,15,67,-17,,8,,-65,,87,39,48,0,,52,-9,,-6,
414,SI_AtCoder,-61,21,-26,-16,7,14,14,18,-4,70,-65,11,-12,14,-23,25,11,-33,10,0,12,-17
415,Paracanthurus,0,0,0,0,0,0,0,0,-10,60,-30,13,29,-12,0,-10,-54,28,-11,-8,0,0
416,ktanigaw,-37,28,1,37,-11,61,64,-9,-51,25,-42,13,0,-26,9,-38,,17,48,-10,-49,1
417,ykamo,40,35,-2,,-43,-29,57,2,20,24,,-13,-14,-1,-9,-63,-11,,18,-5,-3,-10
418,east1016,0,-14,95,-27,-9,7,39,-6,20,2,18,-43,41,-4,-15,51,0,-54,-51,17,-28,39
419,yupiteru,104,-43,,,-10,-45,-80,-35,,,-42,-97,6,-56,48,-90,22,-48,-46,20,-38,95
420,ius,,,,,227,26,-6,-11,40,38,27,13,4,36,-5,-62,50,17,8,12,-8,17
421,monnu,22,26,,11,47,-27,,,,,-31,,,,,,,16,-58,-14,,
422,kurrrru,,,,,0,46,56,-21,,,,,,,52,,,28,29,,,
423,watatoshi,-14,4,-18,119,0,-26,4,-16,-22,51,-18,-33,6,-16,-24,-28,-29,-10,-28,5,47,-1
424,cleantted,,-6,,,53,0,-18,-20,-26,,,,0,,,6,16,-14,-31,-32,-11,24
425,planes,,,-31,-76,-46,7,,,22,41,0,-27,,0,-28,,,26,-16,49,49,12
426,unsre,-13,3,,0,-42,-41,-49,-14,5,78,-42,-14,-60,20,6,10,-14,0,-48,0,0,154
427,swamp,,,,,0,0,-34,-32,,5,0,,96,,14,-68,0,-36,5,14,-13,0
428,maron8676,,,20,0,-23,-10,-37,49,13,-14,-11,-40,-6,60,82,35,10,54,6,-9,-12,7
429,espressivosubito,6,-7,-27,0,2,29,-39,-13,50,76,-46,-55,-50,4,-7,-78,0,-54,-28,-24,-78,88
430,tsugutsugu,,,,,,,,,,,,,53,,,,,-9,-27,,-47,8
431,ptatsuya,,,,,,,,,,,,,,376,27,127,0,,-6,-25,25,
432,tagenkan,25,66,-1,-12,48,19,14,-7,5,0,27,6,64,50,84,-13,-26,-21,-14,-9,12,19
433,kyad,,,,,,-34,,,,,-32,-35,-43,33,38,-5,-54,,-7,-14,33,
434,Sozima,,,,,85,59,62,29,10,-64,15,-21,,56,-2,,,,17,3,-58,35
435,tichiba,,,,,,,,,,,,,,,,,0,0,74,55,3,
436,MemeChan,,,,27,78,16,-25,0,-17,98,-68,25,66,82,-20,-60,,15,4,-73,22,-18
437,tokumini,30,-5,-27,22,-4,35,-7,-25,-38,-5,-20,-6,-25,0,-47,-86,5,-14,-42,-28,-15,-32
438,akihiromizuno,,,,,,,,,,,,,539,407,288,-138,25,74,13,7,-91,8
439,LyricalMaestro,,,66,,-24,-7,,80,,10,29,,,0,-13,-11,0,21,-25,0,,
440,Izayoi_R,,,,,,,,,,,,,,,,,,,-54,,,
441,Almach3D,0,,,,,,0,,,,,,,18,0,-56,0,31,24,,0,0
442,ra5anchor,52,-3,-7,103,-15,,8,20,15,34,-60,113,-7,44,68,33,-2,11,4,-9,-65,-10
443,syodaikinoko,,,,,,,,,,,,,,169,118,,135,182,67,27,58,
444,usmstk,,,,,,,,,,,,,,60,74,20,64,67,97,28,99,-3
445,tnaito,,,,,,,,,,,,,,23,56,21,-14,-36,-11,21,41,-50
446,uni_kakurenbo,0,28,0,-12,46,-26,0,0,-6,-53,-45,-13,0,82,0,0,0,0,2,0,-5,23
447,Toshiki0731,,,,,,,,,,,,,,,,,13,19,45,15,,
448,n0cturnal,,,,,,,,,138,115,133,-15,0,123,0,-31,25,0,33,-2,70,45
449,hamath,2,12,-15,-31,46,-11,23,13,-32,,86,0,,-9,-4,-23,-18,3,-42,-20,0,-4
450,Ruwinningson,,,11,,57,143,,6,-37,51,-29,0,97,,17,-42,-27,-4,26,2,-60,21
451,phocom,24,29,-47,-55,-2,39,-21,-51,14,48,0,-18,-52,53,-33,-20,0,-30,-55,4,-39,-40
452,ecsmtlir,,,,,-18,,,,-5,,,,,,,,,,18,,,
453,kaichou243,-66,24,15,-30,203,56,0,-85,-39,0,18,20,-26,-1,-18,-71,26,57,-27,-30,11,-25
454,inosendo,16,38,56,84,18,-6,-20,-53,-50,-75,-67,18,6,-12,59,2,6,,-4,-16,11,-15
455,FLR,,,,,,,,,,,,,,,,,,0,2,,0,-17
456,kaluan,,,,,,,,,69,162,,27,46,0,,-34,,,55,,100,
457,vertexA,,,,,,,,,,,,,,,,,,108,210,71,,
458,muse,52,38,93,14,21,-45,-27,28,-3,37,-1,-40,44,-45,42,18,-19,-24,-40,-31,66,-6
459,Zaurus,-28,39,-60,,,26,-11,56,-40,66,,-34,33,-5,,,,,-28,,,
460,lonte,,-73,59,36,17,54,-44,23,,,0,,67,-3,30,15,18,,-15,22,-1,
461,chtomoki,,,,,,,,98,63,-52,-41,110,16,67,,42,7,-15,14,28,,
462,Lin143,,-68,49,9,,50,-47,76,-42,15,-76,11,,0,71,,26,,-40,29,-6,-37
463,magurofly,,0,,0,0,0,0,0,0,,0,,,0,0,0,-15,0,-52,0,0,0
464,ecasdqina,,,,,,-47,,,,,,,-54,,,7,,9,-59,,,
465,inoma31415,,,,,,,,,,,,,,,,,128,199,90,,,
466,huru,63,27,17,62,-1,41,-17,-21,,,16,55,,17,,-41,19,10,41,18,,
467,yuta_k_,,,,,,,,,,,,,,194,0,-35,,32,76,46,,
468,yuiop,19,-6,-12,139,,-42,33,-47,-8,33,7,8,82,38,,-17,66,3,-26,-14,-27,7
469,hato_,,,,,,,,,,,,,177,107,97,-66,-8,-25,0,36,-68,-4
470,primenumber_zz,31,10,32,65,-7,2,53,11,60,64,19,-14,5,-33,0,-7,-22,21,-69,117,22,-11
471,Medjed22,110,64,,75,26,46,,,-50,34,-35,-8,,29,-57,-33,35,16,46,22,,2
472,eggkid,,,,,,,,,,,,,,,,,,,-22,,-4,
473,hana255,,,,,,,,,,,,,,,,,,66,117,-55,112,-76
474,slugcats,,,,,,,,,,,,,,78,128,,,153,105,,,
475,rasobb,,,-6,,,-17,84,25,-72,-60,-51,8,79,20,147,53,-66,16,20,32,5,6
476,sanagawa,,,,,,,,,,,,,,82,159,-16,100,0,91,-39,57,-21
477,T_and_M,,,,,,,,,,,,,,,,,,103,-13,36,23,-13
478,Rusty,,,,,,,,,8,,,,,87,76,-31,10,-60,50,,,-7
479,yuto0712,26,70,19,,41,52,-21,,,-56,,,,-25,40,-47,-15,,19,11,,
480,dicecu,40,-9,,32,60,,,-12,-12,,0,-38,25,2,73,-16,17,,-39,-55,-4,
481,poyon_,,,,,,,,,,,,,,,474,606,286,80,-46,66,,-75
482,YuyaPrgrm,,,,,,,,,,,,,,263,135,-32,48,,73,-58,,12
483,ikepyon,,,,,,,,,,,-18,,,,-57,-28,61,55,27,66,-2,-33
484,MRBuchi,-6,,,,,0,,,,,,,,,,,-2,-23,33,,,
485,downer,,,95,,,,,,,,,,,108,,120,,37,68,-51,,
486,PeachCaStella,,,62,,23,80,-33,,0,,45,,121,-8,70,-62,4,94,-10,-73,,28
487,InTheBloom,,,,,,,,,,,,,54,41,54,0,38,48,98,-38,-28,17
488,okikaze103,,,,,,,,,,,,,,,,,,-24,39,,,
489,y_naga,,,,,,,,,,,,,,62,-3,23,165,75,101,-41,,-56
490,perifereia,-51,,,77,24,3,-29,22,-2,64,23,-25,47,40,30,8,-5,-11,-2,0,-62,
491,MARTH,,,,,,0,,,0,,,,,0,0,25,87,76,102,-43,90,
492,Akari__,30,-17,-29,-3,6,-33,0,8,-18,27,-35,3,44,-39,-5,-65,-14,28,-16,-12,-66,-25
493,superZ,,,,,,,,,,24,29,78,38,168,65,-27,72,60,57,15,38,44
494,masatou,,,191,51,148,,-41,36,0,-61,103,12,40,77,3,,13,,18,6,22,6
495,tourists,,,,,,,,,,,,,,,,,17,56,163,-33,0,45
496,pqm,,,,,,,,,,,,,,65,52,-8,52,,94,39,-28,14
497,hiratai,-32,10,-36,-19,12,-31,-16,2,-8,-34,28,-24,-31,-7,63,40,-48,-29,-73,43,-10,5
498,natadekoko,,,,,,,,,,,,,,4,63,-38,10,46,24,2,-48,
499,magsta,159,39,27,,27,17,,-40,25,29,-53,19,,39,3,7,-11,9,-62,,,
